SHIPPING_MODE,SHIPPING_PRICE,WARRANTIES_FLG,CARD_PAYMENT,COUPON_PAYMENT,PRICECLUB_STATUS,BUYER_BIRTHDAY_DATE,PURCHASE_COUNT,SELLER_SCORE_COUNT,SELLER_COUNTRY,PRODUCT_FAMILY,ITEM_PRICE,CLAIM_TYPE
RECOMMANDE,10<20,non,1,0,UNSUBSCRIBED,1971,5<20,<100,CHINA,ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,SILVER,1979,20<50,1000<10000,CHINA,WHITE,20<50,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1979,<5,1000<10000,ITALY,ELECTRONICS,500<1000,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1964,<5,100000<1000000,"FRANCE, METROPOLITAN",COMPUTER,100<500,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1983,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,oui
RECOMMANDE,5<10,non,1,0,PLATINUM,1987,50<100,100<1000,GERMANY,WHITE,50<100,non
NORMAL,Inconnu,non,0,0,PLATINUM,1997,20<50,1000<10000,CHINA,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1966,50<100,1000<10000,CHINA,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,GOLD,1972,20<50,100000<1000000,GERMANY,BOOKS,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1965,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,GOLD,1944,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1988,<5,10000<100000,"FRANCE, METROPOLITAN",WHITE,<10,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1977,5<20,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
NORMAL,1<5,non,0,0,REGULAR,1996,20<50,10000<100000,UNITED KINGDOM,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1995,5<20,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1958,20<50,10000<100000,HONG KONG,SPORT,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,2e3,<5,<100,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1993,5<20,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1952,<5,10000<100000,"FRANCE, METROPOLITAN",GAMES,10<20,non
RECOMMANDE,Inconnu,non,1,0,PLATINUM,1956,100<500,100000<1000000,GERMANY,BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,SILVER,1991,20<50,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1961,100<500,100000<1000000,GERMANY,VIDEO,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1999,<5,100<1000,CHINA,WINE,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1985,5<20,100000<1000000,GERMANY,VIDEO,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1967,5<20,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1941,<5,1000<10000,"FRANCE, METROPOLITAN",WHITE,10<20,oui
NORMAL,Inconnu,non,1,0,GOLD,1989,50<100,1000<10000,CHINA,CLOTHING,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,2e3,<5,10000<100000,HONG KONG,SPORT,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1950,100<500,1000<10000,"FRANCE, METROPOLITAN",VIDEO,<10,non
CHRONOPOST,Inconnu,non,1,0,UNSUBSCRIBED,1994,5<20,1000<10000,"FRANCE, METROPOLITAN",VIDEO,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1975,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,0,0,GOLD,1987,50<100,100000<1000000,"FRANCE, METROPOLITAN",GAMES,50<100,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1983,5<20,1000<10000,UNITED KINGDOM,BOOKS,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1976,20<50,10000<100000,"FRANCE, METROPOLITAN",SPORT,<10,non
NORMAL,Inconnu,non,0,0,PLATINUM,1986,100<500,100000<1000000,"FRANCE, METROPOLITAN",GAMES,<10,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1993,<5,1000<10000,"FRANCE, METROPOLITAN",GAMES,<10,oui
CHRONOPOST,10<20,non,1,0,UNSUBSCRIBED,1968,20<50,10000<100000,"FRANCE, METROPOLITAN",BOOKS,50<100,non
NORMAL,Inconnu,non,0,1,SILVER,1998,<5,1000<10000,CHINA,CLOTHING,<10,oui
SUIVI,1<5,oui,1,0,UNSUBSCRIBED,1967,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1958,<5,1000<10000,"FRANCE, METROPOLITAN",BOOKS,10<20,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1972,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,REGULAR,1986,<5,100<1000,CHINA,ELECTRONICS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1978,<5,100<1000,CHINA,ELECTRONICS,50<100,oui
NORMAL,Inconnu,non,1,1,GOLD,1994,5<20,1000<10000,CHINA,ELECTRONICS,20<50,oui
MONDIAL_RELAY,<1,non,1,1,GOLD,1991,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1991,50<100,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1974,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1967,5<20,1000<10000,CHINA,ELECTRONICS,<10,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1988,<5,100000<1000000,"FRANCE, METROPOLITAN",COMPUTER,100<500,non
NORMAL,Inconnu,non,0,1,GOLD,1974,5<20,1000<10000,GERMANY,HIFI,<10,non
MONDIAL_RELAY,1<5,non,1,0,UNSUBSCRIBED,1979,5<20,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1982,<5,1000<10000,"FRANCE, METROPOLITAN",WHITE,20<50,non
SO_RECOMMANDE,Inconnu,non,1,0,PLATINUM,1962,>500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1957,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,oui
MONDIAL_RELAY,<1,non,1,0,UNSUBSCRIBED,1969,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,10<20,oui
RECOMMANDE,Inconnu,non,1,0,SILVER,1970,5<20,100<1000,SLOVAKIA (Slovak Republic),ELECTRONICS,100<500,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1969,20<50,100<1000,ITALY,COMPUTER,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1971,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,oui
NORMAL,Inconnu,non,0,0,PLATINUM,1980,50<100,100<1000,CHINA,CLOTHING,<10,non
NORMAL,Inconnu,non,0,0,PLATINUM,1979,5<20,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,1,UNSUBSCRIBED,1994,<5,<100,CHINA,CLOTHING,20<50,oui
NORMAL,Inconnu,non,1,0,REGULAR,2e3,5<20,10000<100000,"FRANCE, METROPOLITAN",WHITE,10<20,oui
NORMAL,<1,non,1,0,PLATINUM,1973,100<500,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1973,50<100,1000<10000,CHINA,ELECTRONICS,<10,oui
EXPRESS_DELIVERY,5<10,non,1,0,UNSUBSCRIBED,1993,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,100<500,non
NORMAL,Inconnu,non,1,1,SILVER,1986,50<100,10000<100000,UNITED STATES,MUSIC,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1977,5<20,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,0,0,GOLD,1958,5<20,10000<100000,HONG KONG,WHITE,<10,oui
NORMAL,Inconnu,non,0,0,PLATINUM,1991,100<500,1000<10000,GERMANY,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,SILVER,1990,20<50,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,0,0,PLATINUM,1987,100<500,100<1000,"FRANCE, METROPOLITAN",WHITE,20<50,oui
NORMAL,1<5,oui,1,0,UNSUBSCRIBED,1968,<5,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1987,5<20,1000<10000,"FRANCE, METROPOLITAN",BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1991,<5,100<1000,CHINA,ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1996,<5,100<1000,"FRANCE, METROPOLITAN",CLOTHING,10<20,oui
SO_RECOMMANDE,5<10,non,1,0,UNSUBSCRIBED,1989,<5,10000<100000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1954,<5,100<1000,CHINA,HIFI,20<50,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1997,<5,10000<100000,"FRANCE, METROPOLITAN",GAMES,<10,non
RECOMMANDE,1<5,non,1,0,UNSUBSCRIBED,1985,<5,10000<100000,HONG KONG,ELECTRONICS,10<20,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1956,<5,10000<100000,"FRANCE, METROPOLITAN",HIFI,10<20,non
NORMAL,1<5,non,0,0,PLATINUM,1988,>500,1000<10000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1994,50<100,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,1,UNSUBSCRIBED,1992,5<20,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1981,20<50,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1983,50<100,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1990,<5,10000<100000,CHINA,WHITE,<10,oui
NORMAL,Inconnu,non,0,0,GOLD,1987,5<20,10000<100000,UNITED STATES,HIFI,<10,oui
SUIVI,1<5,non,1,0,UNSUBSCRIBED,1993,<5,10000<100000,"FRANCE, METROPOLITAN",GAMES,20<50,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1993,50<100,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1963,5<20,1000<10000,"FRANCE, METROPOLITAN",VIDEO,10<20,oui
NORMAL,Inconnu,non,1,0,SILVER,1973,100<500,10000<100000,HONG KONG,COMPUTER,<10,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1971,100<500,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1981,<5,10000<100000,UNITED STATES,ELECTRONICS,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1991,5<20,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
SUIVI,Inconnu,non,1,0,GOLD,1998,20<50,100000<1000000,"FRANCE, METROPOLITAN",BABY,20<50,oui
NORMAL,Inconnu,non,1,0,REGULAR,1975,20<50,100000<1000000,GERMANY,BOOKS,10<20,non
NORMAL,<1,non,1,1,GOLD,1964,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1999,<5,1000<10000,"FRANCE, METROPOLITAN",GAMES,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1948,<5,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1999,<5,1000<10000,ITALY,ELECTRONICS,500<1000,non
NORMAL,Inconnu,non,1,0,REGULAR,1967,5<20,100000<1000000,GERMANY,BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1981,<5,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1973,50<100,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,oui
NORMAL,Inconnu,non,1,0,REGULAR,1976,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1994,5<20,100000<1000000,GERMANY,BOOKS,10<20,oui
NORMAL,<1,oui,1,0,UNSUBSCRIBED,1965,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1968,20<50,<100,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,non
NORMAL,Inconnu,non,0,0,SILVER,1965,5<20,100000<1000000,GERMANY,BOOKS,10<20,non
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1999,<5,100<1000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1996,<5,100000<1000000,GERMANY,BOOKS,10<20,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1972,100<500,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,5<10,non,1,0,PLATINUM,1973,20<50,1000<10000,"FRANCE, METROPOLITAN",WHITE,10<20,non
NORMAL,Inconnu,non,1,0,PLATINUM,1961,20<50,100000<1000000,GERMANY,BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,PLATINUM,1981,20<50,100000<1000000,GERMANY,GAMES,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1966,<5,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1990,<5,1000<10000,CHINA,ELECTRONICS,10<20,non
NORMAL,Inconnu,non,1,0,PLATINUM,1980,100<500,10000<100000,UNITED STATES,MUSIC,10<20,oui
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1991,<5,<100,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1982,5<20,1000<10000,CHINA,ELECTRONICS,10<20,non
NORMAL,1<5,non,1,0,PLATINUM,1973,100<500,1000<10000,"FRANCE, METROPOLITAN",MUSIC,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1964,100<500,100000<1000000,GERMANY,MUSIC,<10,non
MONDIAL_RELAY,<1,non,1,0,UNSUBSCRIBED,1997,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1964,<5,10000<100000,UNITED KINGDOM,ELECTRONICS,100<500,non
SUIVI,<1,non,1,0,PLATINUM,1983,100<500,10000<100000,"FRANCE, METROPOLITAN",GAMES,<10,non
RECOMMANDE,Inconnu,non,0,0,UNSUBSCRIBED,1987,<5,1000<10000,CHINA,ELECTRONICS,100<500,oui
MONDIAL_RELAY,<1,non,1,1,REGULAR,1983,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1991,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,PLATINUM,1973,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1968,<5,100<1000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1971,20<50,100000<1000000,"FRANCE, METROPOLITAN",MUSIC,20<50,oui
RECOMMANDE,Inconnu,non,1,1,SILVER,1983,5<20,1000<10000,GERMANY,SPORT,100<500,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1964,50<100,1000<10000,CHINA,ELECTRONICS,10<20,non
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1980,20<50,100000<1000000,SWITZERLAND,VIDEO,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1978,<5,100<1000,CHINA,BABY,10<20,non
NORMAL,Inconnu,non,1,0,GOLD,1989,50<100,10000<100000,UNITED STATES,VIDEO,10<20,oui
NORMAL,Inconnu,non,0,0,GOLD,1968,20<50,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1976,5<20,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1974,<5,100<1000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
SUIVI,Inconnu,non,1,0,REGULAR,1991,<5,10000<100000,ANDORRA,BABY,20<50,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1981,5<20,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1967,20<50,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1959,5<20,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1975,>500,100000<1000000,SWITZERLAND,VIDEO,10<20,oui
MONDIAL_RELAY,1<5,non,1,0,UNSUBSCRIBED,1967,<5,10000<100000,"FRANCE, METROPOLITAN",BABY,10<20,oui
SUIVI,5<10,non,1,0,UNSUBSCRIBED,1959,50<100,1000<10000,"FRANCE, METROPOLITAN",WHITE,10<20,non
NORMAL,Inconnu,non,1,0,REGULAR,1990,50<100,10000<100000,"FRANCE, METROPOLITAN",VIDEO,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1976,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,1<5,non,1,0,PLATINUM,1985,100<500,1000<10000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
SUIVI,1<5,non,1,0,UNSUBSCRIBED,1972,<5,100<1000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,REGULAR,1960,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,oui
RECOMMANDE,Inconnu,non,1,0,REGULAR,1999,<5,100<1000,CHINA,ELECTRONICS,100<500,non
SUIVI,5<10,non,1,0,UNSUBSCRIBED,1975,5<20,10000<100000,"FRANCE, METROPOLITAN",WHITE,20<50,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1979,<5,1000<10000,CHINA,SPORT,100<500,non
NORMAL,Inconnu,non,1,0,PLATINUM,1992,100<500,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1992,5<20,1000<10000,CHINA,CLOTHING,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1974,5<20,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1960,5<20,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
RECOMMANDE,Inconnu,non,1,1,REGULAR,1982,<5,100<1000,CHINA,ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1990,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1997,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,oui
NORMAL,Inconnu,non,1,0,GOLD,1994,100<500,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,<1,non,1,1,GOLD,1989,20<50,1000<10000,"FRANCE, METROPOLITAN",GAMES,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1974,5<20,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1987,20<50,10000<100000,"FRANCE, METROPOLITAN",VIDEO,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1948,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,0,0,UNSUBSCRIBED,1994,<5,10000<100000,UNITED STATES,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1975,5<20,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1989,<5,1000<10000,CHINA,BABY,<10,oui
NORMAL,1<5,non,0,0,GOLD,1994,5<20,10000<100000,"FRANCE, METROPOLITAN",CLOTHING,<10,non
NORMAL,1<5,non,1,0,PLATINUM,1956,100<500,1000<10000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,<1,non,1,1,GOLD,1996,5<20,10000<100000,"FRANCE, METROPOLITAN",GAMES,<10,non
SO_POINT_RELAIS,10<20,non,1,0,UNSUBSCRIBED,1961,<5,100<1000,"FRANCE, METROPOLITAN",HIFI,100<500,oui
NORMAL,1<5,non,1,1,GOLD,1947,20<50,1000<10000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1983,>500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1950,100<500,10000<100000,UNITED STATES,MUSIC,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1982,5<20,100<1000,UNITED KINGDOM,SPORT,<10,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1958,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
NORMAL,Inconnu,non,0,0,UNSUBSCRIBED,1967,50<100,1000<10000,SWITZERLAND,VIDEO,10<20,non
NORMAL,<1,non,1,0,GOLD,1956,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1964,100<500,100000<1000000,GERMANY,BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,GOLD,1984,20<50,1000<10000,CHINA,ELECTRONICS,<10,oui
NORMAL,1<5,non,1,0,PLATINUM,1956,5<20,10000<100000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1969,<5,100<1000,CHINA,HIFI,10<20,non
NORMAL,Inconnu,non,0,0,UNSUBSCRIBED,1991,<5,100<1000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1987,5<20,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,1<5,non,1,0,PLATINUM,1993,20<50,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
EXPRESS_DELIVERY,Inconnu,non,1,0,UNSUBSCRIBED,1959,5<20,10000<100000,ANDORRA,WHITE,20<50,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1960,20<50,100000<1000000,GERMANY,MUSIC,<10,non
RECOMMANDE,Inconnu,non,1,1,UNSUBSCRIBED,1983,<5,10000<100000,SPAIN,VIDEO,20<50,non
NORMAL,Inconnu,non,0,0,PLATINUM,1957,>500,10000<100000,UNITED STATES,MUSIC,<10,non
NORMAL,1<5,non,1,0,GOLD,1967,100<500,1000<10000,"FRANCE, METROPOLITAN",VIDEO,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1964,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,0,0,PLATINUM,1975,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,0,0,UNSUBSCRIBED,1970,>500,100000<1000000,GERMANY,MUSIC,10<20,oui
NORMAL,1<5,non,0,0,PLATINUM,1977,100<500,10000<100000,UNITED KINGDOM,BOOKS,10<20,oui
NORMAL,Inconnu,non,1,0,GOLD,1960,20<50,100000<1000000,GERMANY,MUSIC,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1978,100<500,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1984,5<20,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1971,<5,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1961,<5,1000<10000,CHINA,ELECTRONICS,100<500,non
SUIVI,5<10,non,1,0,UNSUBSCRIBED,2e3,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1979,<5,10000<100000,UNITED STATES,MUSIC,<10,non
RECOMMANDE,Inconnu,non,1,0,PLATINUM,1971,>500,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1978,<5,10000<100000,HONG KONG,WHITE,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1966,5<20,100000<1000000,GERMANY,BOOKS,10<20,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1984,50<100,10000<100000,UNITED STATES,GAMES,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1956,100<500,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1965,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1999,<5,1000<10000,NETHERLANDS,GAMES,20<50,oui
NORMAL,1<5,oui,1,0,UNSUBSCRIBED,1977,<5,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,20<50,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1935,5<20,10000<100000,"FRANCE, METROPOLITAN",HIFI,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1998,<5,<100,CHINA,GAMES,10<20,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1969,20<50,100000<1000000,"FRANCE, METROPOLITAN",GAMES,<10,non
RECOMMANDE,Inconnu,non,1,0,PLATINUM,1979,20<50,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1957,100<500,100000<1000000,GERMANY,MUSIC,<10,non
